	index	"_height(inches)"""	_weight(pounds)	bmi
127	128	67.93	119.31	0.025855540235921015
128	129	68.89	140.24	0.029550139373872922
129	130	70.24	133.98	0.0271563231303283
130	131	68.27	132.58	0.028445803717217305
131	132	71.23	130.7	0.02576022778111863
132	133	69.1	115.56	0.024202010132340347
133	134	64.4	123.79	0.02984790324447359
134	135	71.1	128.14	0.02534810621121576
135	136	68.22	135.96	0.02921377807378323
136	137	65.92	116.63	0.026839590059147895
137	138	67.44	126.82	0.027883842797217756
138	139	73.9	151.39	0.027720962936785064
139	140	69.98	130.4	0.026627458414811855
140	141	69.52	136.21	0.02818314571329823
141	142	65.18	113.4	0.02669219828000558
142	143	68.01	125.33	0.027096268677545773
143	144	68.34	127.58	0.027316977747904245
144	145	65.18	107.16	0.025223421231793632
145	146	68.26	116.46	0.02499448644721939
146	147	68.57	133.84	0.028465422158012916
147	148	64.5	112.89	0.027135388498287363
148	149	68.71	130.76	0.027697145649854666
149	150	68.89	137.76	0.029027575585743964
150	151	69.54	125.4	0.02593153132764725
151	152	67.4	138.47	0.030481469415069247
152	153	66.48	120.82	0.02733737497483929
153	154	66.01	140.15	0.03216426537035918
154	155	72.44	136.74	0.026057856750619952
155	156	64.13	106.11	0.025800839355210988
156	157	70.98	158.96	0.03155119872721797
157	158	67.5	108.79	0.023877091906721538
158	159	72.02	138.78	0.026755966842805942
159	160	65.31	115.91	0.02717449851843771
160	161	67.08	146.29	0.0325108655495143
161	162	64.39	109.88	0.02650219227977246
162	163	69.37	139.05	0.028895326373698463
163	164	68.38	119.9	0.025642536960968854
164	165	65.31	128.31	0.030081614225698758
165	166	67.14	127.24	0.028226757137815698
166	167	68.39	115.23	0.02463657629114699
167	168	66.29	124.8	0.028400013553724412
168	169	67.19	126.95	0.028120524901992943
169	170	65.99	111.27	0.0255518195240105
170	171	69.43	122.61	0.02543498945519397
171	172	67.97	124.21	0.026885741701768096
172	173	67.76	124.65	0.027148478064813793
173	174	65.28	119.52	0.028046604671280277
174	175	73.83	139.3	0.025555558674324387
175	176	66.81	104.83	0.023485653129113222
176	177	66.89	123.04	0.027499445105271983
177	178	65.74	118.89	0.02750970463892894
178	179	65.98	121.49	0.027907177177428265
179	180	66.58	119.25	0.026901147520614288
180	181	67.11	135.02	0.02997944758105137
181	182	65.87	116.23	0.026788161646907505
182	183	66.78	109.17	0.024479947431684197
183	184	68.74	124.22	0.026288903323118857
184	185	66.23	141.16	0.03218119297433217
185	186	65.96	129.15	0.029684730919119263
186	187	68.58	127.87	0.02718777728364785
187	188	66.59	120.92	0.02726968420952454
188	189	66.97	127.65	0.028461659669498263
189	190	68.08	101.47	0.02189266170579715
190	191	70.19	144.99	0.029429817233710444
191	192	65.52	110.95	0.025845178088767833
192	193	67.46	132.86	0.029194535809517506
193	194	67.41	146.34	0.03220433950503951
194	195	69.66	145.59	0.03000299473534923
195	196	65.8	120.84	0.027909941704160165
196	197	66.11	115.78	0.026491053572172595
197	198	68.24	128.3	0.0275517139012849
198	199	68.02	127.47	0.027550832766985448
199	200	71.39	127.88	0.025091571580604776
